customer_id,first_name,last_name,date_of_birth,age,state,branch_id,email,phone,employment_status,employment_length_years,annual_income,credit_score,customer_since
CUST100261,David,Johnson,1992-11-29,33,CO,BR111,,930.751.7289,Employed,3.2,65929.36,706,2014-06-20
CUST102188,Debbie,Harper,1995-10-30,30,TX,BR104,jasonsmith@example.com,(719)288-9060x917,Employed,6.8,59846.54,709,2018-07-14
CUST100642,Sharon,Smith,1988-11-10,37,WA,BR104,jeanette43@example.net,+1-891-806-2272x362,Employed,9.7,29522.76,674,2020-07-18
CUST101111,Pamela,Alvarez,1989-02-22,37,NJ,BR106,kimberly90@example.net,588.865.3859x067,Employed,3.1,30943.06,683,2014-10-09
CUST100575,Daniel,Mcclure,1977-08-05,49,MO,BR107,zjackson@example.net,728.466.0416x4485,Employed,0.1,54794.94,695,2013-11-01
CUST100282,Heather,Reynolds,1997-12-07,28,NC,BR109,vbradley@example.net,001-332-919-7199x758,Unemployed,0.0,,599,2014-05-08
CUST101532,  William  ,Stephenson,2001-01-01,25,NJ,BR103,tammy34@example.org,892-493-6059,Employed,2.2,59625.26,661,2022-02-05
CUST101944,  Allison  ,Thomas,1973-01-28,53,CO,BR111,james22@example.org,4728487641,SELF-EMPLOYED,4.8,35993.71,642,2013-03-13
CUST101353,Kyle,Parker,1978-02-06,48,AZ,BR101,jasongarza@example.org,778-652-4744x203,EMPLOYED,2.2,44909.93,700,2015-12-06
CUST101427,Andrew,Cobb,1966-11-21,59,TN,BR108,maria74@example.net,442-848-7396,Self-Employed,5.1,39845.31,725,2013-08-31
CUST100523,Samantha,Gray,2000-10-24,25,CO,BR102,sheppardnatalie@example.net,+1-878-624-5569,EMPLOYED,5.5,63216.25,686,2016-05-03
CUST100598,Michael,Small,2001-03-19,25,VA,BR105,johnny54@example.org,+1-642-245-6075,Employed,2.7,79717.4,737,2020-08-11
CUST101697,Lisa,Richard,1975-01-29,51,NC,BR107,michealallen@example.net,001-974-789-2500,employed,10.7,101669.32,746,2013-04-20
CUST100362,Robert,Marshall,1984-03-26,42,TX,BR104,michael91@example.net,6177226016, Employed ,4.1,12637.87,683,2020-06-25
CUST102236,  Stacy  ,Monroe,1973-02-12,53,NJ,BR101,tholt@example.net,(831)377-1862x6678,Employed,5.3,90714.46,776,2017-09-30
CUST100329,Carl,Contreras,1983-12-23,42,NY,BR107,pattonsamantha@example.org,001-732-750-1249,Unemployed,0.0,16831.77,597,2014-02-12
CUST101253,Breanna,Lewis,1959-05-04,67,WA,BR105,michelle12@example.net,946-950-2234,Employed,6.9,26379.77,695,2019-12-06
CUST102033,Dustin,Perez,1980-06-23,46,TN,BR103,newmanpatricia@example.com,(711)368-4603,Employed,5.3,"$69,417.94",709,2021-02-02
CUST101543,Isabella,Walker,1999-06-14,27,WI,BR103,dstafford@example.net,7418167881,EMPLOYED,0.2,66645.53,722,2021-03-27
CUST102478,Mia,Morales,1995-10-02,30,IL,BR100,hmatthews@example.org,001-451-928-4836x95595,Employed,1.9,53250.33,676,2018-08-19
CUST101471,Jennifer,Price,1990-11-04,35,WI,BR108,angel98@example.net,954.264.6398,employed,7.1,98788.71,779,2013-03-28
CUST102200,Heather,Pitts,1950-04-26,76,WI,BR100,navarromark@example.com,797-609-5744,Self-Employed,7.0,45268.14,672,2012-02-02
CUST101470,Sara,Allen,1979-10-20,46,CO,BR110,kyliekline@example.com,+1-767-906-0558x173,Employed,6.7,27419.47,685,2020-10-14
CUST100141,  Lawrence  ,Ibarra,1994-10-29,31,MO,BR102,patrickli@example.org,+1-921-589-0927x5326,employed,0.8,71031.88,715,2013-01-06
CUST100182,Kenneth,Carter,1951-07-19,75,TN,BR100,,(432)360-3323x098,Retired,0.0,24714.75,740,2017-03-11
CUST100581,Stephanie,Dougherty,1982-07-26,44,TN,BR111,jennifer68@example.com,541.886.5205x7563,Unemployed,0.0,6439.01,563,2017-04-22
CUST102347,Angel,Marshall,2007-05-30,19,IL,BR102,ipadilla@example.com,666-619-0764,,0.0,16228.76,545,2025-02-01
CUST100833,Kelly,Rodriguez,1985-10-24,40,VA,BR102,james32@example.com,+1-636-478-1367x500,employed,3.0,103198.47,726,2022-02-14
CUST101113,Jacob,Brown,1971-02-11,55,GA,BR101,moralesfrancisco@example.net,4739992891,Employed,3.7,,741,2013-07-06
CUST100936,Michael,Young,1991-05-23,35,NY,BR101,joseharris@example.org,001-931-815-8760x545,unemployed,0.0,18925.8,532,2025-05-23
CUST101729,William,Martin,1983-09-20,43,NJ,BR107,brianreynolds@example.com,001-540-803-8180,Employed,0.5,102539.79,716,2016-03-01
CUST102281,Steven,King,1993-04-16,33,CO,BR102,loribowman@example.net,228.202.3865x626, Self-Employed ,1.3,11746.96,649,2019-12-30
CUST102459,  Philip  ,Torres,1988-04-15,38,MA,BR103,alvaradojesse@example.net,292-203-1759x145,Employed,7.6,87128.39,783,2020-09-11
CUST100538,Melissa,Solis,1977-08-16,49,PA,BR104,ypatterson@example.org,001-212-784-1173,Employed,6.7,75691.05,732,2012-01-22
CUST101248,  Julie  ,Chavez,1983-10-02,42,MO,BR105,kendra39@example.net,001-823-813-2465,Self_Employed,3.6,48710.51,681,2020-11-11
CUST100124,Michelle,Alexander,1958-02-07,68,OH,BR106,pochoa@example.net,(745)693-7526,Retired,0.0,34167.68,683,2022-09-08
CUST102191,Kenneth,King,1997-02-06,29,PA,BR110,jenniferpage@example.net,219.274.5314x5955,Employed,11.0,59263.82,715,2012-06-19
CUST100531,Peter,Howe,1987-03-25,39,WI,BR107,richard23@example.net,597-991-6202x232,Employed,5.0,60483.39,748,2018-11-22
CUST102385,Andrea,Haynes,1988-02-19,38,AZ,BR102,michael16@example.net,001-532-340-5741x1935,Unemployed,0.0,8684.43,591,2021-01-27
CUST101046,  Mary  ,Benton,1987-10-27,38,FL,BR103,noblealexandra@example.org,619-285-4582x94203,Employed,3.3,79488.26,703,2012-09-28
CUST102099,Nicole,Dean,1990-05-05,36,MI,BR109,david76@example.org,(862)996-5863x60253,Self_Employed,16.2,60215.9,737,2014-07-12
CUST102158,Bryan,Rodriguez,1976-07-21,50,WA,BR107,fletcherpatrick@example.net,6046790464,Employed,5.1,81373.54,727,2012-08-13
CUST100958,Tom,Gray,2008-07-01,18,VA,BR107,anna74@example.com,6008268764,Employed,0.0,67108.48,640,2019-02-16
CUST102045,Donna,Fields,1987-10-29,38,FL,BR100,dianawilliams@example.org,453.550.2469x4841,self-employed,16.8,70639.59,734,2013-10-20
CUST100600,Tiffany,Little,1956-11-14,69,VA,BR106,reyestina@example.org,546-260-2416x13944,Retired,0.0,35035.69,687,2017-04-22
CUST100638,Maurice,Fuller,2004-03-17,22,WI,BR106,nhayes@example.com,+1-948-971-4855x245,Employed,4.0,92929.9,706,2021-08-14
CUST100680,Travis,Powers,1978-09-29,47,IN,BR108,nicole15@example.org,(629)346-2135,Employed,12.7,86021.92,755,2017-01-05
CUST101472,Tiffany,Brewer,1993-01-08,33,NJ,BR108,todd39@example.net,442.771.8669,Employed,3.9,56784.65,636,2016-07-12
CUST102195,Barry,Wise,1985-03-04,41,TX,BR101,angela81@example.com,493.839.6910,Employed,0.7,80319.69,790,2021-06-12
CUST101618,  Mariah  ,Smith,2003-06-20,23,MI,BR109,julie89@example.com,+1-561-772-1505x205,Employed,4.2,48936.8,732,2014-09-11
CUST100909,Joshua,Kennedy,1978-04-27,48,NJ,BR106,gutierrezjessica@example.net,001-282-473-4813x1045,Self-Employed,5.2,"$131,337.48",746,2016-12-20
CUST100644,Lynn,Weaver,1984-02-29,42,TN,BR107,whernandez@example.net,340-364-1769x27438,Employed,1.4,44279.12,754,2026-08-09
CUST101688,Courtney,Sutton,1990-07-05,36,Florida,BR111,,511-654-8805x1093, Employed ,1.1,35466.57,739,2017-07-24
CUST101676,Samantha,Mann,1988-02-20,38,PA,BR107,tyler30@example.com,759-765-7657x86800,employed,4.7,99622.65,763,2012-09-21
CUST101327,Christy,Lee,1966-12-09,59,Texas,BR108,,(417)434-0242,Employed,5.7,85505.0,753,2022-09-08
CUST100940,John,Merritt,1983-04-22,43,MA,BR105,tvelasquez@example.com,330-979-6373x1008,Employed,9.1,77192.94,698,2025-09-30
CUST100707,  Heather  ,Nelson,1966-08-11,60,IL,BR104,warnertimothy@example.net,001-423-216-6007x676,Unemployed,0.0,,574,2020-04-29
CUST100789,Elizabeth,Fernandez,1981-11-14,44,OH,BR100,travis12@example.org,001-248-290-5670x86700,Employed,7.9,82070.54,684,2021-08-07
CUST100929,Melissa,Martinez,1977-03-22,49,NC,BR103,sanchezjennifer@example.org,001-528-916-5064x63005, Employed ,7.7,23846.19,692,2018-07-16
CUST101831,Lauren,Wilson,1975-02-01,51,CO,BR107,james42@example.org,,Employed,8.1,53022.54,739,2021-04-17
CUST101698,Joseph,Cochran,1966-03-11,60,FL,BR107,mfowler@example.com,+1-918-621-7748,Self-Employed,10.9,51136.04,662,2019-03-03
CUST100623,Brian,Brown,2004-04-23,22,IL,BR108,joshua57@example.com,672-515-6229,Employed,4.0,91350.64,693,2020-02-08
CUST102034,Eduardo,Ramirez,2004-01-23,22,MI,BR103,jmyers@example.org,001-874-264-5331x64950,Employed,4.0,33991.75,678,2023-05-07
CUST102336,Jonathan,Hernandez,1970-08-03,56,IN,BR110,joseph34@example.net,,Self-Employed,2.7,56255.88,713,2024-10-31
CUST101311,Catherine,Thomas,1988-02-01,38,NJ,BR105,ycooper@example.org,+1-827-467-1377x188,Self Employed,4.7,61308.03,720,2024-05-08
CUST101611,Richard,Kelley,1978-04-18,48,AZ,BR105,michael52@example.org,620-336-0816,Self-Employed,0.0,28046.77,733,2025-10-07
CUST100314,Walter,Gallegos,1999-03-06,27,WI,BR109,rmckinney@example.net,,Employed,3.5,26558.68,645,2015-11-03
CUST100951,  Melissa  ,Wilson,1999-12-20,26,OH,BR104,nelsongabriela@example.com,413-207-5384x185,Employed,3.1,0.0,634,2024-12-23
CUST100766,Michael,Jimenez,1981-09-12,45,WI,BR101,richard04@example.com,(312)689-9151,Employed,3.3,24567.29,655,2023-03-07
CUST100142,Karen,Lawrence,1978-10-28,47,WA,BR110,bbell@example.com,(634)213-8999, Employed ,14.0,61792.37,699,2024-05-16
CUST102272,  Lauren  ,Henry,1981-11-13,44,IL,BR103,john96@example.com,442.793.2683x4870,Self-Employed,9.9,52840.41,694,2013-04-12
CUST100515,Allison,Garrison,1989-04-25,37,IN,BR101,jeanette28@example.org,(535)367-9836,Employed,19.0,94501.24,754,2015-11-13
CUST101236,Shaun,Hill,1965-12-18,60,PA,BR103,fenglish@example.com,727-561-3681x49802,Unemployed,0.0,14084.9,581,2021-03-13
CUST101469,Jay,Bradley,1999-09-19,27,NJ,BR109,kathryn24@example.net,923.385.8653x9276,employed,3.7,69595.74,740,2015-08-12
CUST101347,Logan,Ruiz,1985-10-24,40,AZ,BR107,deniseclark@example.net,001-800-709-4065,Employed,7.3,78685.9,787,2022-07-21
CUST101058,Karl,Baxter,1996-04-23,30,NY,BR104,jenniferrice@example.com,001-368-306-6405,Employed,12.0,0.0,719,2026-07-15
CUST100932,Tanya,Butler,2008-08-10,18,WA,BR107,wstevens@example.org,(636)621-9865x5049,Employed,0.0,117377.27,741,2016-03-16
CUST101709,Shelley,Kerr,1988-01-10,38,NJ,BR106,robert20@example.org,,Employed,2.2,61021.45,716,2019-01-14
CUST100356,Billy,Kelly,1977-08-26,49,WA,BR104,hellis@example.net,(615)513-4228,unemployed,0.0,,580,2020-06-05
CUST101014,Karl,Santos,1981-01-06,45,AZ,BR103,ghill@example.net,799-479-5728x5759,Employed,4.6,63420.75,728,2025-10-29
CUST100163,Jonathan,Rodriguez,1978-10-16,47,MA,BR109,williamssamuel@example.com,(567)465-8617,Employed,12.1,54964.3,742,2018-06-16
CUST100472,Joseph,Perkins,1971-12-11,54,CA,BR105,omoore@example.net,001-965-427-1727x2239,Employed,15.6,108475.95,790,2021-05-20
CUST101424,Eric,Taylor,1990-09-13,36,IN,BR102,vjones@example.net,+1-258-319-7015,Employed,8.3,84367.33,753,2020-02-28
CUST101288,Jared,Brewer,1990-03-20,36,CA,BR108,shelby34@example.com,001-514-666-8865x8348,Employed,4.9,70902.03,743,2020-02-06
CUST102267,Jacob,Jackson,1983-01-06,43,NJ,BR103,ywallace@example.net,001-897-273-9516,Employed,0.1,49701.95,688,2015-01-27
CUST100074,Tara,Bishop,1964-06-11,62,MA,BR104,pyoung@example.com,435.697.7468x8623,Unemployed,0.0,21939.58,604,2012-07-02
CUST100974,Amber,Herrera,1977-01-31,49,WI,BR100,rmoore@example.com,+1-825-681-2259x0956,Employed,2.5,68876.01,751,2022-05-10
CUST102482,Thomas,Nguyen,1977-12-16,48,CO,BR101,jareddavis@example.org,(941)870-7127,Employed,10.4,20550.17,679,2015-04-21
CUST101241,Kayla,Stein,1969-04-07,57,WA,BR108,gabrielle92@example.com,(493)270-6325x0313,Employed,1.3,90559.4,783,2016-03-24
CUST102465,Nicole,Gibson,1969-08-19,57,NY,BR101,lisa75@example.com,826-537-0079,Employed,1.3,48364.77,755,2014-10-28
CUST100464,Christina,Davis,1979-02-24,47,CA,BR107,jamesalicia@example.net,+1-733-656-7086x0414,employed,7.8,57727.3,682,2025-10-16
CUST100697,Dylan,Garrett,1988-08-19,38,PA,BR107,brittneyblake@example.org,374-239-7429x250,Employed,0.6,61656.76,749,2024-09-01
CUST102410,  Jose  ,Hernandez,1983-07-02,43,NJ,BR110,suzannematthews@example.org,+1-429-785-6724x0555,Employed,6.2,69968.63,710,2024-06-03
CUST100338,John,Young,1978-10-12,47,FL,BR107,brittany14@example.org,220-785-0769x86407,Self-Employed,3.1,34830.88,740,2017-05-11
CUST102162,Caleb,Hartman,1986-10-22,39,MA,BR106,wdavis@example.net,+1-896-622-4947,Employed,3.0,"$37,788.62",583,2021-05-08
CUST100032,Elizabeth,Rogers,1970-04-17,56,MI,BR106,lrosales@example.com,554.354.9480, Employed ,1.9,83550.26,716,2015-04-29
CUST100304,Shannon,Allen,1980-12-29,45,IL,BR107,cheryljohnson@example.org,001-379-714-5608x331,Unemployed,0.0,10095.72,626,2024-08-05
CUST102198,Matthew,Wall,1999-01-25,27,CA,BR100,,220-732-8659x18198,Employed,8.5,69287.2,708,2014-06-29
CUST102021,Natasha,Leon,1982-10-26,43,MO,BR105,victoria80@example.com,233.315.6964,Employed,3.3,83588.85,739,2012-06-13
CUST100995,Emily,Fuller,1971-04-29,55,NC,BR110,gallagherjoanna@example.org,001-890-674-7296,Unemployed,0.0,19233.18,592,2012-08-29
CUST100607,John,Hudson,1987-01-18,39,TN,BR103,xcohen@example.org,001-796-488-3275x3273,Unemployed,0.0,4758.51,649,2016-02-04
CUST102226,Joe,Warren,1989-02-05,37,IL,BR100,lisacollins@example.net,001-969-766-0818,Employed,8.8,70989.12,659,2019-06-12
CUST102080,Alisha,Collier,1988-08-08,38,NY,BR104,solismelissa@example.com,628.277.4786x910,Employed,11.1,"$31,871.72",765,2018-05-02
CUST100218,Linda,Ortiz,1998-12-05,27,WI,BR104,mooredenise@example.com,986-495-9463x688,Employed,9.0,91381.97,771,2017-03-31
CUST102279,Alan,Garcia,1987-08-14,39,NJ,BR103,iwells@example.com,615.968.5390x9174,Employed,13.4,27665.4,733,2020-03-23
CUST101649,April,Forbes,1990-03-12,36,FL,BR108,simmonsjoseph@example.org,475-947-8935x05260,Employed,14.9,41998.45,726,2012-02-26
CUST101721,Keith,Brown,1979-02-26,47,TN,BR108,,001-839-585-2381x82893, Employed ,6.2,57333.53,669,2026-03-13
CUST100798,Brittney,Mccoy,1996-12-03,29,VA,BR110,travistaylor@example.net,830-260-1198x75617,Employed,3.6,109431.44,739,2011-11-19
CUST101445,Michael,Johnson,1979-10-08,46,MO,BR104,zcook@example.net,+1-426-972-8007,Employed,2.5,97149.41,756,2014-01-22
CUST100519,  Holly  ,Sullivan,1993-08-10,33,TN,BR103,ugarcia@example.net,973-623-5494x012,Unemployed,0.0,"$12,991.14",566,2024-06-10
CUST101312,Michael,Rodriguez,1972-12-18,53,MI,BR107,yhubbard@example.com,+1-530-955-7371,Employed,1.0,88669.14,737,2022-11-15
CUST102368,  Nicholas  ,Wells,2005-03-19,21,MO,BR107,youngallison@example.com,814.803.1916,Employed,3.0,98304.97,716,2024-08-29
CUST102476,Travis,Frank,2003-02-01,23,MA,BR101,josechambers@example.com,(494)821-0420x841,Employed,5.0,39969.02,706,2016-07-03
CUST100171,Thomas,Adams,1978-10-09,47,MO,BR101,andrew44@example.com,513.824.7546x9137,Employed,6.5,70506.34,687,2022-10-11
CUST100704,Jerry,Zamora,1987-05-16,39,NC,BR104,jay04@example.org,425.937.6576,employed,0.0,118863.53,784,2018-11-20
CUST102313,Lisa,Robinson,2007-10-31,18,NY,BR108,wshelton@example.org,602-545-4224x922,Employed,0.0,45810.38,679,2012-01-21
CUST100487,  Steven  ,Mcclure,1991-11-16,34,CO,BR105,cisnerosjesse@example.org,+1-822-288-9857x25459,,2.4,76483.8,819,2025-01-04
CUST100917,Anthony,Lewis,1964-11-07,61,IL,BR111,hunterholly@example.com,418-749-1359,Employed,12.3,123057.69,767,2016-11-19
CUST100026,Perry,Carrillo,1990-07-23,36,PA,BR110,gateskathy@example.com,805.946.6889x3734,employed,11.9,25948.61,588,2012-02-27
CUST100530,Tammy,Taylor,1977-04-15,49,OH,BR105,kevincollins@example.org,393.911.0291x8133,Self-Employed,1.3,60687.42,746,2012-02-03
CUST100564,James,Harrison,1967-12-11,58,VA,BR104,ucervantes@example.com,,Employed,13.3,55677.61,743,2017-12-17
CUST100221,Danielle,Gonzales,1968-07-18,58,WI,BR109,melissagalvan@example.net,430-398-8392x0530,Self-Employed,2.3,50169.18,706,2026-08-05
CUST101633,David,Salas,1976-12-26,49,CA,BR103,taylorfleming@example.com,001-704-783-6481x16595,Employed,10.2,40393.41,701,2020-04-07
CUST101678,Lauren,Thompson,1982-08-10,44,California,BR100,carterchristopher@example.net,767.247.1520x35191,Employed,1.7,89079.65,770,2023-09-22
CUST100637,Dustin,Doyle,1993-02-05,33,WI,BR104,adkinslauren@example.net,7322020326, Employed ,3.0,"$37,935.73",651,2020-04-04
CUST102078,Julie,Bright,1980-08-02,46,FL,BR106,alyssaevans@example.org,373.948.5030x2772, Employed ,18.2,29338.15,711,2020-04-22
CUST100219,Jon,Parker,1986-04-12,40,GA,BR101,kim62@example.net,237-421-3865,EMPLOYED,12.4,-51898.3,737,2017-07-12
CUST100996,Christine,Washington,1992-02-29,34,IL,BR103,trancaitlin@example.com,+1-674-385-9946x41839,Employed,3.7,72647.8,723,2017-11-08
CUST101332,Jesus,Medina,1985-04-17,41,MI,BR102,carrollchristopher@example.org,+1-883-890-9342x4240, Self-Employed ,4.8,50593.44,744,2021-10-08
CUST101964,Sean,Fitzgerald,1963-01-18,63,MA,BR110,uburns@example.net,6789107283,Employed,3.2,55415.59,791,2024-04-09
CUST101188,Karen,Mayer,1970-06-05,56,NJ,BR102,,915.268.9109x779,Employed,12.7,88512.5,795,2024-10-03
CUST102410,Jose,Hernandez,1983-07-02,43,NJ,BR110,suzannematthews@example.org,+1-429-785-6724x0555,Employed,6.2,69968.63,710,2024-06-03
CUST100792,Claudia,Fields,1972-09-28,53,NJ,BR103,davidbrown@example.org,664-481-8804,Employed,32.3,102289.44,720,2019-11-22
CUST100401,Douglas,Alexander,2000-04-12,26,GA,BR105,bradley03@example.org,323-242-5832x3024,Employed,8.0,58565.4,673,2024-02-16
CUST100083,Michael,Herring,1973-05-15,53,GA,BR106,jacobserika@example.com,(271)492-8565x431,Employed,11.5,"$78,345.16",713,2019-03-03
CUST101867,Alan,Mccann,2008-01-09,18,TN,BR109,robinsonjulie@example.com,803.524.8274,Employed,0.0,53355.01,701,2022-11-19
CUST101524,Kimberly,Clark,1899-13-45,45,WI,BR107,benjamin51@example.org,979.837.6699,Employed,10.3,63684.27,720,2019-09-07
CUST102041,Edgar,Mckenzie,1985-08-08,41,IL,BR101,jasonsosa@example.org,967-372-5038x56162,Self-Employed,0.1,41142.1,632,2026-01-05
CUST100654,William,Alvarez,1989-07-05,37,NJ,BR103,daniel93@example.net,(883)374-9079x779,Unemployed,0.0,4258.67,574,2025-12-10
CUST100669,Austin,Mendoza,1998-03-30,28,CO,BR110,,213-569-5727,,6.3,9539.01,575,2023-03-10
CUST101547,  Amy  ,Wright,1981-02-06,45,WI,BR111,ddunn@example.com,+1-910-680-1533,Employed,12.9,67001.51,721,2024-03-21
CUST100030,Brittany,Rivas,1983-12-03,42,FL,BR110,curtisbarton@example.net,+1-819-905-8651x850,Employed,0.4,128044.29,790,2013-04-19
CUST102413,Vickie,Mccann,1987-04-19,39,VA,BR102,peter93@example.org,3507650696,Employed,17.5,56011.6,757,2025-05-18
CUST101706,Joseph,Schroeder,1979-04-19,47,MA,BR101,joseph10@example.net,504-727-9749,Self-Employed,3.2,71711.2,696,2015-11-17
CUST102461,  Sean  ,Cordova,1959-03-30,67,NY,BR107,lori48@example.net,4245966899,Retired,0.0,,724,2026-02-01
CUST100396,Kevin,Sims,1979-03-02,47,MA,BR101,garciabrian@example.org,866-319-6399x0767,unemployed,0.0,10091.86,571,2016-10-15
CUST101834,Debra,Robles,1987-09-15,39,AZ,BR111,melissacastillo@example.net,(530)357-8245,Employed,6.5,100379.93,788,2012-02-09
CUST101815,  Jennifer  ,Thompson,1994-04-29,32,OH,BR110,paynedominic@example.net,001-852-976-2520x21311,Unemployed,0.0,3696.87,519,2020-02-20
CUST101286,Jeremy,Lopez,1973-11-27,52,MA,BR104,loriwalters@example.org,(620)907-3024x2662,Employed,14.5,38874.01,668,2017-02-22
CUST100086,Kyle,Key,1967-10-23,58,WI,BR109,xfox@example.com,,Employed,2.7,64546.1,721,2023-03-06
CUST102490,Aaron,Baker,2007-12-25,18,TX,BR102,snguyen@example.com,446-857-4814x525,Employed,0.0,102836.45,716,2016-03-02
CUST100728,Sarah,Reilly,2007-11-30,18,NJ,BR104,,889-863-4067x917,Employed,0.0,"$80,653.87",738,2016-05-24
