customer_id,first_name,last_name,date_of_birth,age_at_2024,gender,state,postcode,employment_type,employment_tenure_months,annual_income,residential_status,dependents,customer_since
CUST000046,Angela,Nelson,1955-12-08,68,M,NSW,7353,Full-Time,43,48049.88,Renting,0,2022-11-29
CUST000047,William,King,1999-03-13,24,F,VIC,2216,Full-Time,34,31317.9,Owner,0,2024-03-10
CUST000048,Matthew,Anderson,1952-04-13,71,F,VIC,2727,Part-Time,69,25617.57,Renting,0,2021-09-09
CUST000049,Alec,Jones,1974-07-14,49,M,NSW,2638,Part-Time,30,50154.25,Owner,2,2017-01-18
CUST000050,Angela,Jordan,1971-02-21,52,F,VIC,2145,Full-Time,17,80950.62,Living with Family,3,2024-10-24
CUST000051,Michelle,Nolan,1995-11-26,28,F,NSW,2673,Full-Time,13,66617.47,Owner,0,2022-09-23
CUST000052,Anita,Baxter,1970-03-29,53,F,WA,0823,Full-Time,42,82857.8,Owner,3,2024-07-03
CUST000053,Nicole,Johnson,1996-10-01,27,F,QLD,2956,Self-Employed,59,79255.44,Mortgage,1,2023-12-11
CUST000054,Lisa,Adams,1999-11-04,24,F,VIC,2560,Self-Employed,96,53513.39,Mortgage,1,2024-06-14
CUST000055,Lisa,Stevens,1962-08-18,61,M,QLD,2933,Self-Employed,63,68247.79,Owner,3,2018-09-24
CUST000056,Raymond,Ramirez,1988-01-04,36,M,VIC,2345,Full-Time,3,99783.86,Living with Family,4,2022-07-01
CUST000057,Tina,Herrera,1972-11-27,51,F,SA,2014,Full-Time,14,36066.14,Renting,2,2018-05-01
CUST000058,Joseph,Rodriguez,2005-07-21,18,M,WA,2605,Self-Employed,24,58885.82,Owner,1,2023-04-13
CUST000059,Catherine,Dixon,1967-12-02,56,M,VIC,2989,Casual,3,44997.79,Mortgage,2,2018-06-08
CUST000060,Ryan,Meyer,1952-04-20,71,M,NSW,4356,Self-Employed,3,95700.77,Renting,4,2017-05-10
CUST000061,Mark,Edwards,1988-04-02,35,F,VIC,2619,Full-Time,3,62457.08,Renting,1,2023-03-15
CUST000062,Kyle,Ortiz,1967-02-23,56,M,VIC,2994,Casual,24,53505.27,Owner,1,2021-09-18
CUST000063,Elizabeth,Gray,1960-11-07,63,F,NSW,2659,Full-Time,31,107744.63,Owner,1,2021-11-05
CUST000064,Martha,Torres,1973-04-12,50,M,NSW,2676,Self-Employed,118,83725.61,Mortgage,4,2023-10-18
CUST000065,Marco,Ramos,1984-11-29,39,F,NSW,2678,Casual,26,43399.35,Renting,2,2020-12-25
CUST000066,Laura,Jackson,2001-12-29,22,M,VIC,2448,Part-Time,83,42684.82,Renting,0,2022-09-13
CUST000067,Clarence,Crane,1985-08-23,38,M,SA,2694,Casual,7,21437.52,Mortgage,1,2018-09-30
CUST000068,Andrew,Sanchez,1961-04-11,62,F,QLD,2919,Full-Time,154,96345.75,Living with Family,1,2024-05-16
CUST000069,Robert,Soto,1953-12-13,70,F,NSW,2666,Self-Employed,19,83136.05,Renting,3,2021-03-05
CUST000070,Diana,Smith,1963-11-17,60,F,NSW,2563,Full-Time,59,112553.81,Mortgage,0,2018-04-23
CUST000071,April,Williams,2005-04-15,18,M,QLD,2691,Full-Time,22,84449.86,Living with Family,0,2020-10-31
CUST000072,Elizabeth,Travis,1996-03-17,27,F,NSW,7579,Self-Employed,294,73685.95,Renting,1,2024-01-22
CUST000073,Ronald,Meadows,2001-06-18,22,F,QLD,2612,Casual,4,34431.53,Renting,2,2023-06-02
CUST000074,Jonathon,Wright,1977-04-04,46,M,NSW,0948,Part-Time,15,21851.04,Renting,2,2021-01-31
CUST000075,Scott,Reeves,1963-08-09,60,F,VIC,2694,Self-Employed,29,71467.45,Renting,1,2019-09-30
CUST000076,Christopher,Hernandez,2001-07-09,22,F,NSW,2982,Full-Time,34,104985.94,Renting,0,2023-01-30
CUST000077,Rick,Daniels,1953-06-14,70,F,NSW,0203,Full-Time,20,37497.57,Mortgage,0,2024-03-21
CUST000078,Kayla,Shah,1972-04-25,51,F,VIC,2096,Self-Employed,35,97464.51,Mortgage,3,2021-01-06
CUST000079,Kenneth,Price,2004-05-28,19,M,NSW,0288,Casual,140,34792.21,Mortgage,0,2023-12-04
CUST000080,Tracy,Nelson,2001-10-19,22,M,QLD,2920,Full-Time,4,39046.18,Owner,0,2016-12-26
CUST000081,Erin,Powell,1969-03-22,54,F,NSW,2647,Part-Time,23,51416.84,Mortgage,0,2024-12-31
CUST000082,Rebecca,Vargas,1980-09-14,43,M,NSW,2016,Full-Time,11,71197.8,Owner,0,2017-12-12
CUST000083,Brent,Gray,1976-07-03,47,M,NSW,2677,Full-Time,42,79344.89,Mortgage,2,2019-09-01
CUST000084,Nicholas,Walton,1993-11-16,30,M,QLD,0241,Full-Time,91,24582.42,Renting,0,2020-12-15
CUST000085,Brett,Crane,1993-03-03,30,F,WA,2681,Self-Employed,23,56835.49,Mortgage,1,2023-10-03
CUST000086,Karen,Herring,1987-07-12,36,F,VIC,2660,Self-Employed,10,42947.7,Owner,3,2022-04-26
CUST000087,Thomas,Wilson,1963-07-25,60,M,VIC,2677,Full-Time,9,113656.63,Owner,1,2023-01-08
CUST000088,Gary,Lawson,1994-03-16,29,M,NSW,2619,Full-Time,14,20512.12,Mortgage,3,2023-09-22
CUST000089,Larry,Lane,1959-03-24,64,F,QLD,2939,Part-Time,27,30987.93,Renting,2,2022-10-27
CUST000090,Randy,Espinoza,2005-04-19,18,F,VIC,2393,Full-Time,16,77922.88,Mortgage,1,2017-08-22
CUST000091,Melissa,Burke,1994-07-13,29,M,VIC,2619,Unemployed,0,16048.32,Renting,0,2023-11-22
CUST000092,Blake,Patel,1982-07-20,41,F,NSW,2971,Full-Time,6,72419.26,Mortgage,0,2021-04-12
CUST000093,Melissa,Short,1969-07-08,54,F,VIC,2565,Full-Time,125,72408.62,Living with Family,2,2022-06-12
CUST000094,Jasmine,Graham,1997-10-16,26,F,NSW,8498,Full-Time,95,56763.01,Renting,1,2023-09-12
CUST000095,Margaret,Vargas,1976-09-08,47,M,NSW,2943,Self-Employed,25,52429.51,Mortgage,0,2024-03-14
CUST000096,Nicole,Sanchez,1954-10-02,69,M,QLD,2909,Full-Time,6,35765.76,Renting,1,2022-03-21
CUST000097,Anthony,Rosales,1971-09-16,52,F,NSW,2657,Full-Time,10,101547.25,Owner,2,2018-08-20
CUST000098,Matthew,Beard,1996-01-01,28,F,QLD,2880,Full-Time,15,64500.73,Mortgage,3,2021-05-17
CUST000099,John,Russell,1960-10-22,63,F,TAS,9377,Full-Time,30,80026.2,Renting,0,2020-10-04
CUST000100,Kelly,Sullivan,1950-09-23,73,F,WA,2694,Full-Time,6,74357.15,Owner,2,2022-09-13
CUST000101,Angela,Cooper,1971-02-17,52,M,VIC,9557,Full-Time,20,106108.41,Renting,1,2019-03-01
CUST000102,David,Lee,1964-04-22,59,F,NSW,2619,Self-Employed,9,59675.26,Renting,1,2023-05-30
CUST000103,Hannah,Lee,2004-11-16,19,F,VIC,2914,Casual,5,21144.12,Renting,2,2023-03-31
CUST000104,Justin,Garcia,1980-02-26,43,M,VIC,2664,Casual,5,51038.8,Renting,0,2018-10-09
CUST000105,Alexis,Ferguson,1960-02-19,63,F,QLD,2800,Full-Time,15,89208.13,Renting,0,2021-09-14
CUST000106,David,Oneill,1990-03-06,33,M,WA,2920,Full-Time,57,85807.69,Mortgage,0,2017-08-25
CUST000107,Justin,Mendoza,1950-06-09,73,M,QLD,2952,Part-Time,10,47209.28,Renting,0,2025-05-31
CUST000108,Michelle,Wilson,1964-05-15,59,F,SA,2367,Full-Time,22,121917.02,Mortgage,0,2017-05-23
CUST000109,Brian,Hernandez,1986-03-27,37,F,QLD,5413,Full-Time,42,80559.84,Renting,2,2017-10-16
CUST000110,Catherine,Gibbs,1994-01-23,29,F,NSW,2688,Full-Time,19,94982.94,Renting,3,2020-02-24
CUST000111,Kenneth,Chapman,2002-06-02,21,M,SA,2604,Full-Time,32,79303.96,Owner,0,2021-11-04
CUST000112,Susan,Garcia,1953-03-21,70,M,VIC,2673,Self-Employed,14,90321.51,Owner,1,2019-02-08
CUST000113,John,Arnold,1954-06-08,69,M,SA,2640,Full-Time,9,70142.64,Mortgage,0,2020-05-26
CUST000114,Terry,Johnson,1989-09-16,34,M,NSW,2924,Full-Time,88,117055.1,Mortgage,1,2023-01-19
CUST000115,Grace,Bradshaw,1976-01-23,47,F,QLD,0993,Full-Time,3,71708.0,Renting,1,2020-07-20
CUST000116,Deborah,Kerr,1981-04-24,42,F,QLD,2631,Full-Time,8,52107.29,Renting,0,2017-04-06
CUST000117,Brooke,Holloway,1995-09-13,28,M,NSW,2927,Full-Time,53,61319.41,Mortgage,1,2017-11-04
CUST000118,Holly,Bender,1989-09-01,34,M,VIC,3877,Full-Time,6,80490.47,Renting,3,2017-06-13
CUST000119,Ryan,Morris,1952-01-15,72,M,SA,2701,Full-Time,1,52012.53,Mortgage,2,2018-10-14
CUST000120,Michelle,Matthews,1988-11-01,35,F,QLD,2049,Full-Time,9,119003.13,Mortgage,0,2017-02-01
CUST000121,Thomas,Pearson,1993-08-03,30,M,NSW,2829,Self-Employed,3,43068.59,Owner,2,2020-08-24
CUST000122,Tanya,Harrison,1996-12-13,27,M,WA,0255,Self-Employed,39,82545.17,Mortgage,0,2022-10-03
CUST000123,Mark,Steele,1999-06-23,24,F,SA,2926,Full-Time,19,85631.51,Owner,2,2024-01-18
CUST000124,Shawn,Edwards,1981-08-19,42,M,VIC,2941,Full-Time,32,48723.94,Mortgage,2,2025-06-15
CUST000125,Xavier,Travis,1973-03-03,50,M,VIC,4760,Full-Time,51,82937.81,Mortgage,3,2018-05-31
CUST000126,Katherine,Garrett,1970-09-16,53,M,VIC,2234,Casual,19,36897.47,Renting,0,2021-09-01
CUST000127,Samuel,Wolfe,2003-07-13,20,F,VIC,2619,Part-Time,149,44152.9,Mortgage,0,2016-12-25
CUST000128,Lauren,Mckinney,1986-04-08,37,F,NSW,2938,Full-Time,4,73694.79,Living with Family,0,2016-11-05
CUST000129,Jeffrey,Skinner,1973-05-22,50,F,VIC,2619,Part-Time,33,45225.97,Renting,0,2020-11-16
CUST000130,Marilyn,Jimenez,1956-07-16,67,M,SA,2928,Full-Time,26,100994.97,Mortgage,0,2023-01-27
CUST000131,Timothy,Kennedy,1973-10-28,50,M,QLD,2908,Full-Time,12,63690.48,Renting,2,2018-01-10
CUST000132,Carol,Francis,1960-10-12,63,F,NSW,2621,Full-Time,39,45084.13,Mortgage,2,2019-03-19
CUST000133,Robert,Villa,1995-07-19,28,F,NSW,3404,Full-Time,24,64530.07,Mortgage,0,2023-04-05
CUST000134,Bethany,Keller,1998-04-20,25,M,QLD,2637,Full-Time,46,80855.03,Owner,2,2021-07-28
CUST000135,Andrea,Daniels,1969-09-29,54,F,VIC,2905,Full-Time,11,92798.34,Renting,1,2024-07-20
CUST000136,Patrick,Chase,1963-07-30,60,M,NSW,0205,Casual,108,49087.12,Owner,0,2023-06-05
CUST000137,Lisa,Hughes,1990-08-18,33,F,VIC,2637,Casual,42,44381.61,Renting,0,2025-05-29
CUST000138,Tammy,Rivera,1957-01-18,66,M,VIC,2571,Full-Time,103,103290.27,Living with Family,2,2021-06-16
CUST000139,Jennifer,Ortiz,1976-03-24,47,F,SA,2631,Full-Time,92,52703.28,Renting,3,2020-12-13
CUST000140,Matthew,Schwartz,2005-12-09,18,F,VIC,2458,Self-Employed,13,89484.32,Renting,0,2020-02-23
CUST000141,Jennifer,Malone,1968-02-04,55,F,QLD,4091,Full-Time,14,83197.93,Owner,0,2018-11-02
CUST000142,Karl,Perez,1989-06-03,34,F,NSW,2461,Full-Time,13,66797.28,Renting,3,2023-07-27
CUST000143,Craig,Jackson,1990-07-21,33,F,QLD,2930,Full-Time,100,79925.45,Owner,4,2017-02-20
CUST000144,Kelly,Brooks,1995-11-26,28,F,VIC,2633,Self-Employed,23,89735.8,Mortgage,3,2021-07-03
CUST000145,Laura,Jackson,1982-07-20,41,M,ACT,2496,Self-Employed,9,100223.27,Mortgage,1,2022-04-20
CUST000146,Roberta,Thomas,1963-09-11,60,M,NSW,2904,Full-Time,1,65765.08,Mortgage,4,2020-11-10
CUST000147,Rachel,Marshall,1988-05-27,35,M,VIC,2928,Full-Time,104,101033.14,Renting,2,2018-02-23
CUST000148,Michael,Matthews,1975-05-07,48,F,NSW,0964,Unemployed,0,16844.46,Mortgage,2,2020-11-01
CUST000149,Yvonne,Castaneda,1967-04-02,56,F,QLD,2536,Full-Time,7,65889.71,Mortgage,1,2021-11-14
CUST000150,Victoria,Phillips,1983-01-24,40,F,NSW,2994,Casual,94,31172.26,Renting,0,2016-10-18
CUST000151,Kimberly,Beltran,1999-11-25,24,M,VIC,7743,Self-Employed,9,75009.82,Renting,1,2022-03-10
CUST000152,Dana,Oliver,1970-02-28,53,M,QLD,2621,Full-Time,75,69188.67,Owner,0,2024-11-08
CUST000153,Kyle,Alexander,1987-03-20,36,M,WA,6521,Casual,28,44195.89,Renting,1,2024-11-28
CUST000154,Robert,Gonzalez,1968-09-04,55,M,VIC,4588,Full-Time,24,103356.47,Renting,0,2024-12-11
CUST000155,Jonathan,Summers,1997-11-22,26,F,QLD,2914,Full-Time,32,15000.0,Renting,0,2023-06-11
CUST000156,Darius,Mccarty,1969-05-16,54,F,QLD,2633,Full-Time,75,57636.78,Mortgage,2,2024-06-19
CUST000157,Tina,Coffey,1991-09-24,32,F,WA,9516,Self-Employed,41,78249.3,Renting,2,2016-11-06
CUST000158,Shawn,Chambers,1980-11-05,43,F,NSW,2796,Casual,1,47774.88,Renting,0,2024-02-16
CUST000159,Daniel,Hall,2004-04-06,19,M,VIC,2098,Self-Employed,25,76532.35,Owner,0,2019-09-05
CUST000160,Deborah,Reid,1985-02-09,38,M,QLD,2904,Unemployed,0,20162.22,Renting,2,2022-07-27
CUST000161,Brandon,Johnson,1956-06-29,67,M,VIC,2920,Self-Employed,118,73087.43,Owner,2,2017-10-08
CUST000162,Amanda,Price,1963-05-07,60,M,SA,2978,Full-Time,41,114912.41,Living with Family,0,2020-06-30
CUST000163,Eric,Perry,1992-10-11,31,F,QLD,2579,Full-Time,1,105964.09,Renting,4,2020-05-25
CUST000164,Antonio,Wood,2004-11-30,19,M,TAS,2617,Self-Employed,51,36926.99,Owner,0,2025-04-12
CUST000165,Cory,Jennings,1999-05-05,24,F,VIC,4506,Full-Time,11,65008.33,Renting,1,2019-03-17
CUST000166,Stacy,Holloway,2005-11-18,18,M,VIC,2439,Full-Time,42,122019.08,Renting,0,2025-06-18
CUST000167,Matthew,Zhang,1952-08-29,71,F,QLD,5318,Part-Time,19,50192.53,Mortgage,1,2018-08-03
CUST000168,Molly,Murphy,1962-04-02,61,F,NSW,2639,Unemployed,0,17464.45,Mortgage,0,2016-10-01
CUST000169,Duane,Anderson,1999-07-07,24,F,NSW,2721,Full-Time,23,100241.76,Renting,0,2022-09-03
CUST000170,Alexis,Tyler,1951-03-23,72,F,WA,2699,Self-Employed,67,61003.29,Renting,2,2019-08-22
CUST000171,Brian,Harmon,1959-11-01,64,M,NSW,8117,Full-Time,23,107231.32,Living with Family,0,2020-10-04
CUST000172,Brittney,Hayes,1970-09-22,53,M,QLD,2689,Full-Time,24,89498.87,Mortgage,1,2017-02-11
CUST000173,Michelle,Boyd,1995-02-25,28,M,NSW,2900,Self-Employed,2,62351.26,Mortgage,1,2017-04-09
CUST000174,Richard,Parks,1977-07-04,46,F,QLD,2920,Full-Time,70,77405.9,Renting,0,2023-02-19
CUST000175,Rachel,Morris,1975-06-15,48,F,VIC,2631,Full-Time,43,134207.41,Mortgage,0,2017-11-10
CUST000176,Brenda,Joseph,1985-12-08,38,M,VIC,2989,Full-Time,15,77471.09,Owner,0,2021-07-01
CUST000177,Catherine,Garcia,1976-01-16,47,M,VIC,2619,Full-Time,8,101139.86,Renting,0,2024-05-26
CUST000178,Kayla,Le,1987-06-25,36,M,QLD,2676,Part-Time,99,49853.7,Owner,1,2020-10-15
CUST000179,Matthew,Chavez,1962-12-24,61,M,QLD,0215,Casual,60,31394.12,Renting,3,2020-07-25
CUST000180,Nicholas,Hernandez,1988-04-20,35,F,VIC,2911,Self-Employed,37,90215.8,Mortgage,2,2017-07-18
CUST000181,Ryan,Garner,1954-09-05,69,F,NSW,2972,Full-Time,56,53861.12,Mortgage,1,2021-09-24
CUST000182,Anna,Rivera,1983-09-28,40,F,VIC,2619,Part-Time,201,35330.84,Mortgage,2,2020-06-03
CUST000183,Shelley,Henderson,2000-05-24,23,F,NSW,2249,Part-Time,46,55747.18,Owner,1,2019-07-16
CUST000184,William,Moore,1955-09-26,68,F,VIC,2913,Full-Time,1,75408.84,Living with Family,1,2024-05-07
CUST000185,Angela,Wilson,1970-01-12,54,F,VIC,2893,Part-Time,32,21424.8,Mortgage,0,2023-12-28
CUST000186,Terri,Cardenas,1998-09-29,25,F,QLD,0880,Part-Time,5,34783.12,Renting,3,2022-03-16
CUST000187,Heather,Johnson,1987-11-18,36,M,NSW,2845,Full-Time,24,85576.92,Living with Family,3,2019-11-19
CUST000188,Douglas,Sandoval,1960-03-31,63,M,VIC,2320,Full-Time,32,71179.13,Mortgage,1,2017-07-20
CUST000189,Nicholas,Chavez,1980-06-29,43,F,TAS,2645,Full-Time,5,103920.66,Renting,1,2019-07-13
CUST000190,Shelly,Carlson,1968-07-16,55,M,NSW,2222,Full-Time,26,61430.95,Owner,3,2023-07-07
CUST000191,Christopher,Ramos,1952-08-12,71,M,VIC,2607,Full-Time,6,58381.73,Renting,2,2022-03-10
CUST000192,Jason,Hunt,1973-10-01,50,F,QLD,2966,Full-Time,58,90183.55,Renting,3,2017-09-21
CUST000193,Brittany,Rose,1989-01-23,34,M,NSW,2930,Full-Time,99,79132.21,Mortgage,0,2018-09-16
CUST000194,James,Dougherty,1952-11-26,71,M,VIC,2624,Casual,25,30162.0,Mortgage,0,2019-05-01
CUST000195,Tyler,Jordan,1956-09-07,67,M,ACT,2626,Casual,72,39588.51,Owner,1,2021-07-08
CUST000196,Angelica,Barnett,1963-01-27,60,M,VIC,2961,Part-Time,1,47701.94,Owner,2,2020-04-19
CUST000197,Ryan,Stevens,1992-10-06,31,F,NSW,2359,Part-Time,21,45484.77,Living with Family,0,2020-08-03
CUST000198,Danielle,Roberts,1973-03-08,50,M,QLD,2990,Self-Employed,41,54725.44,Living with Family,2,2025-06-02
CUST000199,Stacey,Stevens,1959-09-11,64,M,WA,2971,Full-Time,40,82623.04,Owner,2,2020-08-27
CUST000200,Ryan,Morales,1955-11-13,68,F,VIC,2464,Part-Time,38,47660.28,Owner,0,2023-06-09
CUST000201,Kimberly,Jones,1962-07-30,61,F,TAS,0918,Full-Time,48,85970.04,Renting,1,2021-04-25
CUST000202,Michael,Luna,2002-04-09,21,F,VIC,2633,Part-Time,51,60083.29,Renting,1,2017-08-25
CUST000203,Glenn,Hernandez,1964-07-28,59,M,WA,2327,Full-Time,42,48094.27,Renting,1,2020-11-25
CUST000204,Bethany,Maldonado,1982-06-04,41,F,NSW,5955,Full-Time,2,39536.47,Mortgage,2,2018-01-31
CUST000205,Scott,Turner,1953-09-08,70,M,QLD,2890,Full-Time,23,79383.93,Mortgage,0,2019-11-22
CUST000206,Steven,Johnson,1954-01-11,70,F,VIC,2974,Full-Time,27,104351.14,Renting,2,2017-06-01
CUST000207,Melissa,Gilbert,1999-11-08,24,M,WA,3679,Part-Time,94,38816.16,Living with Family,3,2021-09-18
CUST000208,Paula,Cole,1995-08-26,28,M,VIC,5359,Full-Time,10,87174.78,Mortgage,0,2021-01-02
CUST000209,Bryan,Garcia,1958-06-23,65,M,WA,2951,Full-Time,11,113439.71,Mortgage,0,2021-04-07
CUST000210,John,Kim,1959-09-26,64,F,NSW,2618,Part-Time,26,51740.85,Mortgage,0,2021-06-06
CUST000211,Nathan,Campbell,1958-12-07,65,M,VIC,0259,Full-Time,28,110699.5,Living with Family,2,2017-03-13
CUST000212,Matthew,Rivera,1986-04-26,37,M,SA,9644,Part-Time,77,41053.18,Renting,0,2023-03-28
CUST000213,Rebecca,Marks,1987-10-22,36,F,QLD,2951,Full-Time,9,71557.44,Renting,0,2021-12-20
CUST000214,Michael,Ponce,1957-12-06,66,F,WA,2992,Full-Time,3,95582.2,Renting,1,2022-01-29
CUST000215,Kyle,Bennett,2004-02-17,19,M,QLD,2952,Full-Time,3,69713.88,Renting,2,2022-10-03
CUST000216,Joanne,Jennings,1997-10-21,26,F,QLD,8168,Full-Time,17,88612.79,Mortgage,1,2019-12-25
CUST000217,Henry,Lewis,1970-10-04,53,F,ACT,2920,Full-Time,45,44406.52,Renting,4,2018-06-15
CUST000218,Kenneth,French,1958-09-18,65,M,NSW,3880,Full-Time,31,33233.31,Renting,0,2022-09-06
CUST000219,Christine,Harper,2000-07-22,23,M,NSW,2632,Casual,15,25451.12,Mortgage,1,2018-05-09
CUST000220,Colleen,Orr,1989-11-29,34,F,NSW,2610,Self-Employed,27,53489.51,Mortgage,2,2020-06-03
CUST000221,John,Wallace,1988-12-15,35,M,VIC,2927,Full-Time,47,94262.95,Mortgage,0,2018-10-31
CUST000222,Tammy,Mueller,1963-08-07,60,M,VIC,2665,Casual,42,60190.59,Owner,1,2022-10-30
CUST000223,Scott,Hammond,1982-10-23,41,F,NSW,2988,Full-Time,57,108747.82,Renting,0,2021-06-21
CUST000224,Lisa,Solis,2005-10-08,18,F,VIC,2624,Full-Time,94,49579.68,Living with Family,3,2017-03-12
CUST000225,Nathan,Villa,1977-08-07,46,F,VIC,8141,Part-Time,62,35353.89,Owner,2,2023-08-05
CUST000226,Rebecca,Hernandez,1965-07-19,58,M,NSW,2601,Full-Time,16,86463.23,Mortgage,3,2025-03-29
CUST000227,Shannon,Bailey,1962-08-09,61,F,VIC,2060,Full-Time,26,128444.39,Mortgage,1,2020-04-17
CUST000228,Paul,Miller,1971-06-02,52,M,ACT,2680,Self-Employed,96,44918.36,Mortgage,2,2019-08-05
CUST000229,Jennifer,Rogers,1955-06-22,68,M,VIC,2632,Casual,13,44480.23,Renting,1,2017-01-25
CUST000230,Thomas,Guerra,2002-12-08,21,F,NSW,2917,Part-Time,133,49554.89,Mortgage,3,2022-04-06
CUST000231,Andrew,Lewis,2002-04-07,21,M,NSW,2638,Self-Employed,52,118283.5,Living with Family,1,2025-03-09
