application_id,customer_id,application_date,loan_purpose,loan_amount_requested,term_months,interest_rate_offered,channel,bad_flag,first_name,last_name,date_of_birth,age_at_2024,gender,state,postcode,employment_type,employment_tenure_months,annual_income,residential_status,dependents,customer_since,bureau_credit_score,enquiries_last_6m,active_credit_accounts,defaults_on_file,months_since_last_delinquency,total_existing_debt,credit_utilization_pct,credit_file_age_months
APP000075,CUST000099,2023-12-30,Debt Consolidation,4000,36,8.14,Branch,0,John,Russell,1960-10-22,63,F,TAS,9377,Full-Time,30,80026.2,Renting,0,2020-10-04,701,1,1,0,,28360.09,44.0,104
APP000076,CUST004456,2023-12-04,Debt Consolidation,31000,24,8.27,Online,0,Jose,Campbell,1952-05-08,71,F,QLD,2661,Part-Time,30,41342.31,Mortgage,4,2021-05-14,794,3,2,0,,1263.84,30.0,78
APP000077,CUST001860,2023-06-09,Car Purchase,41500,24,17.45,Broker,0,Adam,Johnson,2005-07-20,18,M,SA,287,Full-Time,44,60639.33,Mortgage,2,2024-06-25,570,6,0,1,17.0,22971.73,39.5,30
APP000078,CUST005814,2023-08-02,Home Renovation,21500,48,15.02,Branch,0,Marcia,Campbell,1952-07-29,71,F,WA,2920,Self-Employed,187,64062.65,Mortgage,4,2019-04-04,745,3,2,0,,9769.35,46.1,114
APP000079,CUST002793,2023-11-01,Debt Consolidation,31500,60,12.38,Broker,0,Sean,Price,1990-07-26,33,M,TAS,2652,Full-Time,37,105145.13,Renting,0,2022-06-06,776,1,2,0,,15913.85,16.9,89
APP000081,CUST002484,2023-01-15,Home Renovation,33500,48,22.41,Online,0,William,Garrett,1967-10-01,56,F,WA,2102,Self-Employed,75,82625.21,Mortgage,3,2021-01-11,740,3,3,0,,10127.42,44.5,167
APP000083,CUST003416,2023-07-24,Home Renovation,46000,36,7.99,Broker,0,Matthew,Brewer,1989-01-14,34,M,NSW,6016,Full-Time,65,88466.04,Owner,1,2022-07-31,758,0,7,0,,13491.73,0.0,143
APP000085,CUST005726,2024-01-25,Debt Consolidation,33000,36,18.34,Online,0,David,Norris,1992-08-16,31,M,WA,2956,Full-Time,72,69263.76,Mortgage,2,2020-10-15,773,2,3,0,,18401.33,21.0,78
APP000086,CUST005825,2023-08-12,Travel,17500,12,21.42,Online,0,Keith,Hatfield,1981-05-17,42,M,QLD,2682,Full-Time,37,68882.68,Renting,0,2024-11-27,858,2,6,0,,4315.94,54.1,140
APP000091,CUST004763,2023-07-27,Other,17000,12,9.25,Broker,0,Susan,Gordon,1988-02-17,35,M,VIC,2310,Full-Time,23,18458.3,Owner,0,2019-07-25,839,2,5,0,,15042.7,33.6,4
APP000093,CUST002750,2023-06-22,Debt Consolidation,18500,36,8.7,Online,0,Kristen,Rice,1984-12-05,39,F,NSW,4688,Part-Time,3,29172.73,Mortgage,0,2021-05-28,781,0,10,0,,6236.57,24.0,88
APP000094,CUST003058,2023-08-07,Car Purchase,45500,12,9.36,Branch,0,Andrea,Montgomery,1996-12-25,27,M,WA,2914,Full-Time,16,74756.89,Mortgage,0,2024-03-23,662,4,3,1,1.0,32253.09,57.0,53
APP000097,CUST004220,2023-12-21,Car Purchase,2000,36,21.24,Broker,0,Heidi,Hurley,2001-07-24,22,M,VIC,7817,Part-Time,6,41774.96,Renting,1,2021-01-27,707,1,3,0,,15648.96,78.6,86
APP000099,CUST005578,2024-01-09,Car Purchase,38500,36,7.79,Online,0,Donna,Johnson,1975-09-13,48,M,QLD,948,Full-Time,3,98824.25,Owner,2,2022-11-20,751,1,2,0,,13416.96,56.8,100
APP000100,CUST001132,2023-02-25,Travel,9500,24,13.06,Broker,0,David,Harris,1959-06-01,64,M,NSW,2972,Full-Time,73,70636.23,Renting,0,2023-04-13,718,1,4,0,,3988.56,0.0,64
APP000101,CUST003255,2023-12-12,Medical,2500,12,14.5,Branch,0,Jonathan,Parrish,1959-07-28,64,F,ACT,2662,Self-Employed,39,62947.3,Mortgage,1,2018-08-24,522,3,1,2,19.0,24574.21,100.0,101
APP000102,CUST001050,2023-10-09,Wedding,4000,12,7.61,Branch,0,David,Roman,1963-07-15,60,F,VIC,2959,Self-Employed,6,35653.24,Renting,1,2023-05-12,759,2,3,0,,0.0,50.0,132
APP000103,CUST004806,2023-06-29,Debt Consolidation,33000,36,8.33,Online,0,David,Ortiz,1967-11-19,56,M,NSW,2678,Full-Time,4,85300.62,Living with Family,2,2018-10-11,714,0,3,0,,37376.11,62.0,192
APP000104,CUST004961,2024-03-26,Debt Consolidation,29500,48,17.98,Online,0,Lance,Adkins,1958-05-17,65,F,QLD,2625,Self-Employed,5,48013.43,Mortgage,0,2018-07-19,753,3,4,0,,6315.75,70.4,35
APP000105,CUST001324,2023-05-12,Wedding,30500,36,16.25,Broker,0,Molly,Robertson,1989-07-11,34,M,NSW,2660,Full-Time,15,112390.53,Mortgage,1,2025-08-07,656,3,0,3,1.0,32289.37,95.7,160
APP000106,CUST000726,2023-10-03,Car Purchase,15500,60,18.42,Broker,0,Erin,Collins,1977-02-24,46,M,SA,2942,Full-Time,148,89501.23,Renting,0,2022-05-22,823,1,0,0,,0.0,36.7,68
APP000107,CUST001659,2024-01-09,Debt Consolidation,16000,36,20.18,Online,0,Kimberly,Carter,2004-04-30,19,F,VIC,2698,Self-Employed,49,54029.83,Living with Family,1,2024-10-05,647,0,1,0,,30753.36,13.9,157
APP000109,CUST005570,2023-08-16,Other,9000,60,13.66,Branch,0,Tina,Sanchez,1986-12-02,37,M,NSW,2628,Casual,56,43201.67,Living with Family,1,2018-05-30,742,4,7,0,,0.0,76.5,83
APP000110,CUST005222,2024-01-06,Home Renovation,32000,60,13.51,Online,0,Joseph,Schroeder,1982-12-09,41,M,QLD,6441,Self-Employed,70,39281.72,Renting,0,2017-04-08,818,3,1,0,,13228.64,0.0,143
APP000112,CUST002368,2023-03-06,Other,43000,48,18.53,Broker,0,Brandon,Smith,1965-08-12,58,M,NSW,2902,Full-Time,19,39817.39,Renting,2,2017-04-11,670,0,6,0,,10605.94,51.4,36
APP000114,CUST002744,2024-03-05,Debt Consolidation,45500,48,17.74,Online,0,Brandon,Reynolds,2002-02-04,21,M,QLD,2986,Part-Time,15,53349.97,Owner,0,2019-02-22,526,2,1,0,,31033.95,87.2,19
APP000115,CUST001797,2023-07-09,Debt Consolidation,35000,36,9.06,Online,0,Thomas,Mcdonald,1986-05-01,37,M,QLD,2945,Self-Employed,1,79023.83,Living with Family,0,2021-10-19,744,2,3,0,,822.9,4.0,175
APP000116,CUST001311,2023-07-24,Debt Consolidation,3500,36,13.68,Online,0,Douglas,Goodman,1969-09-13,54,M,VIC,2994,Part-Time,22,39670.1,Renting,2,2016-10-13,784,0,7,0,,6656.28,8.9,117
APP000120,CUST005685,2023-07-23,Debt Consolidation,39000,36,13.2,Online,0,Pamela,Cobb,1964-07-21,59,M,VIC,3977,Casual,25,42015.71,Renting,0,2022-02-12,753,0,1,0,,10780.12,51.4,113
APP000122,CUST002424,2023-08-01,Home Renovation,12000,60,7.92,Broker,0,Angela,Moreno,1956-12-07,67,M,QLD,1442,Full-Time,55,83533.79,Mortgage,0,2021-08-26,677,0,0,0,,15185.23,0.0,88
APP000123,CUST000701,2023-12-22,Car Purchase,16000,36,21.71,Online,0,Crystal,Thomas,1966-05-06,57,M,TAS,2645,Unemployed,0,26632.11,Renting,2,2020-07-09,630,4,2,0,,35515.68,85.3,92
APP000124,CUST000276,2023-07-18,Home Renovation,18500,36,9.72,Online,0,Jason,Gomez,2005-10-17,18,M,VIC,2247,Full-Time,82,77671.94,Mortgage,2,2022-02-07,834,1,3,0,,13581.65,7.1,3
APP000125,CUST005181,2023-02-19,Travel,49500,36,7.99,Branch,0,Laurie,Phillips,1990-07-27,33,F,QLD,2962,Full-Time,22,58769.31,Renting,1,2025-07-15,779,1,5,0,,2021.74,37.9,180
APP000126,CUST004351,2023-10-07,Home Renovation,29000,24,13.09,Online,0,Charles,Anderson,1957-03-20,66,F,NSW,2619,Full-Time,126,67671.86,Mortgage,0,2024-05-11,691,1,3,0,,17353.75,21.4,101
APP000127,CUST004366,2023-06-25,Home Renovation,43500,36,14.25,Online,0,Deborah,Conley,1999-12-26,24,M,VIC,890,Full-Time,39,60773.23,Mortgage,0,2023-08-04,732,3,4,0,,15538.83,36.4,171
APP000129,CUST002457,2023-05-29,Wedding,20000,48,10.81,Branch,0,Peter,Wilkerson,1961-07-06,62,F,VIC,2406,Part-Time,9,50189.28,Renting,1,2018-02-10,562,2,3,1,49.0,17636.21,70.6,103
APP000130,CUST003093,2023-09-05,Wedding,7500,36,19.81,Branch,0,Sara,Daniel,1988-01-22,35,F,VIC,2918,Full-Time,10,90980.53,Owner,0,2017-03-05,689,2,3,0,,18419.3,36.4,112
APP000131,CUST001175,2024-01-02,Home Renovation,21000,60,14.03,Online,0,Corey,Thomas,1967-01-05,57,F,VIC,2944,Full-Time,36,94021.07,Mortgage,0,2020-02-08,655,1,4,0,,14809.84,21.2,101
APP000132,CUST003815,2023-09-27,Home Renovation,34500,36,10.54,Broker,0,Timothy,Brandt,1957-01-30,66,M,NSW,2717,Full-Time,37,99409.55,Owner,0,2022-08-28,650,3,2,0,,10383.37,31.1,119
APP000133,CUST004336,2023-06-06,Debt Consolidation,4000,60,10.44,Online,0,Kyle,Cox,1958-11-11,65,F,SA,229,Full-Time,39,77078.96,Owner,2,2024-01-30,830,1,4,0,,0.0,7.1,116
APP000134,CUST003756,2023-04-24,Travel,48500,36,16.85,Branch,0,Catherine,Larson,1970-06-27,53,F,VIC,2104,Casual,17,29057.36,Mortgage,0,2017-07-22,586,2,1,0,,32170.2,100.0,142
APP000135,CUST003513,2024-03-23,Car Purchase,14500,60,11.25,Online,0,Gina,Hernandez,1984-05-11,39,M,QLD,2920,Full-Time,129,44123.66,Mortgage,2,2022-04-10,661,1,6,0,,7627.31,30.2,109
APP000136,CUST001178,2024-01-23,Home Renovation,29500,12,15.91,Online,0,Anthony,Schultz,1953-07-10,70,F,WA,2048,Full-Time,3,91853.66,Mortgage,0,2025-05-24,645,1,3,0,,10513.19,39.9,70
APP000137,CUST004569,2023-02-21,Car Purchase,27000,60,14.46,Broker,0,Nicholas,Boyd,1961-08-15,62,M,VIC,2980,Full-Time,5,26882.07,Owner,2,2016-10-17,680,2,3,0,,8040.58,71.6,39
APP000140,CUST004338,2024-03-09,Wedding,48500,60,14.51,Branch,0,Kathleen,Weaver,1963-04-29,60,M,VIC,3070,Full-Time,214,77898.25,Renting,3,2016-11-24,818,0,3,0,,10732.69,0.0,175
APP000141,CUST003444,2023-02-23,Travel,4500,24,8.06,Online,0,Stacy,Sandoval,2002-06-06,21,M,NSW,2639,Full-Time,127,96933.28,Renting,4,2024-12-15,650,0,1,0,,17103.31,43.5,93
APP000142,CUST002236,2023-11-02,Debt Consolidation,6500,24,13.11,Online,0,Angela,Stewart,1958-07-11,65,F,NSW,2682,Self-Employed,1,68472.12,Owner,0,2023-12-23,752,1,4,0,,1982.82,67.4,138
APP000143,CUST001920,2024-03-09,Other,30500,48,20.96,Online,0,Breanna,Saunders,1999-05-08,24,M,SA,4739,Full-Time,1,101392.73,Owner,0,2025-01-19,691,0,3,0,,18437.11,29.1,98
APP000144,CUST004689,2023-12-17,Travel,30500,48,13.09,Online,0,Lauren,Garcia,1999-09-12,24,M,ACT,913,Full-Time,46,69554.51,Mortgage,0,2021-08-13,619,1,2,0,,12951.5,24.9,136
APP000145,CUST004062,2023-08-23,Car Purchase,23000,48,9.17,Online,0,Christine,Brown,1985-09-29,38,F,VIC,2667,Full-Time,2,146860.41,Mortgage,1,2017-01-27,703,2,3,0,,11332.25,13.0,34
APP000146,CUST002547,2023-09-10,Car Purchase,7500,24,21.01,Online,0,Daniel,Carey,1966-10-04,57,F,NSW,2661,Self-Employed,59,61213.52,Renting,0,2018-09-03,724,1,5,0,,0.0,0.0,78
APP000148,CUST000834,2023-08-31,Other,47000,24,12.94,Online,0,Scott,Johnson,2002-09-13,21,M,VIC,2918,Full-Time,15,65818.1,Renting,4,2018-02-10,605,1,4,0,,0.0,77.6,3
APP000149,CUST000900,2023-09-29,Home Renovation,46000,48,10.49,Online,0,Ashley,King,1953-12-15,70,M,VIC,2610,Full-Time,31,77745.71,Renting,2,2024-10-16,808,1,5,0,,7308.12,19.3,118
APP000150,CUST004938,2024-03-28,Debt Consolidation,49500,24,11.14,Broker,0,Nicholas,Stone,1988-09-19,35,F,QLD,6026,Self-Employed,30,68177.37,Mortgage,2,2017-11-21,749,3,2,0,,0.0,37.2,72
APP000152,CUST003918,2023-07-30,Debt Consolidation,8500,24,15.36,Branch,0,Steven,Hamilton,1977-05-15,46,F,NSW,7764,Casual,36,32884.31,Renting,0,2016-12-12,549,2,1,1,20.0,40424.5,98.0,149
APP000154,CUST000803,2023-07-09,Wedding,38500,48,17.52,Online,0,Shawn,Mosley,1951-03-04,72,M,QLD,2667,Full-Time,5,111741.51,Renting,0,2017-07-15,721,0,4,0,,28385.26,14.0,132
APP000155,CUST005381,2023-09-02,Travel,11000,24,8.9,Online,0,Scott,Velazquez,2004-09-03,19,F,SA,277,Self-Employed,14,75510.94,Owner,1,2023-11-16,711,0,2,0,,2944.94,69.1,94
APP000156,CUST004532,2023-11-15,Medical,10500,60,17.67,Branch,0,Holly,Lane,2004-09-10,19,M,WA,2644,Self-Employed,5,46287.65,Mortgage,4,2025-09-03,654,4,2,3,2.0,23017.63,51.5,128
APP000158,CUST004516,2023-06-09,Travel,45000,36,7.87,Branch,0,Kevin,Meyer,1964-08-24,59,M,VIC,2696,Part-Time,50,62315.13,Mortgage,0,2023-08-17,623,1,4,0,,12472.94,64.2,174
APP000159,CUST002009,2023-06-08,Car Purchase,19500,60,14.12,Broker,0,Sophia,Thomas,2000-07-13,23,M,VIC,4950,Unemployed,0,15977.04,Renting,0,2025-06-18,597,6,3,3,9.0,29403.17,100.0,80
APP000161,CUST003595,2023-05-08,Wedding,27500,36,15.57,Online,0,David,Obrien,1993-06-29,30,M,NSW,8684,Full-Time,5,41553.59,Mortgage,2,2017-09-05,605,2,4,0,,18238.83,48.8,161
APP000162,CUST003281,2023-03-13,Home Renovation,45500,36,7.72,Online,0,Scott,Nicholson,1960-07-01,63,M,SA,2938,Full-Time,5,60233.72,Renting,0,2024-05-06,607,4,5,0,,21591.35,84.3,72
APP000163,CUST002298,2023-09-08,Home Renovation,33500,48,22.34,Online,0,Dennis,Terrell,1960-01-10,64,F,QLD,2975,Full-Time,49,53432.09,Living with Family,1,2022-09-20,593,6,0,2,16.0,39555.71,68.0,103
APP000164,CUST003594,2023-03-25,Car Purchase,7500,36,16.45,Branch,0,Rachel,Rojas,1953-08-05,70,M,QLD,8230,Casual,3,30964.99,Renting,3,2021-03-26,577,2,4,2,10.0,41913.37,97.9,100
APP000165,CUST000406,2023-08-20,Debt Consolidation,10500,48,9.73,Branch,0,Jill,Valdez,1974-05-21,49,F,NSW,2694,Self-Employed,43,60103.17,Owner,1,2024-08-06,708,4,2,0,,12034.63,73.3,3
APP000166,CUST001703,2023-09-21,Medical,23000,12,11.45,Online,0,Debra,Gray,1971-03-07,52,M,WA,2612,Full-Time,10,99599.25,Renting,1,2021-04-20,784,1,2,0,,20644.97,9.2,90
APP000168,CUST001968,2023-11-06,Car Purchase,16000,48,19.78,Online,0,Donald,Morales,2004-10-08,19,M,SA,6237,Part-Time,39,35316.85,Renting,2,2018-01-03,729,2,5,0,,6948.74,48.9,38
APP000170,CUST005345,2023-11-05,Travel,12500,24,11.48,Online,0,Valerie,Sanchez,1975-02-12,48,M,NSW,2973,Full-Time,36,80513.07,Living with Family,1,2021-10-08,720,0,5,0,,2209.25,61.2,63
APP000171,CUST001498,2024-01-12,Debt Consolidation,6500,12,17.64,Online,0,Joseph,Reid,1989-05-18,34,F,NSW,2421,Full-Time,5,62236.43,Renting,2,2019-03-11,572,5,4,1,9.0,27096.84,34.9,103
APP000175,CUST000991,2024-01-06,Car Purchase,16500,60,11.3,Online,0,Samantha,Martin,1973-08-15,50,M,SA,2672,Full-Time,97,54437.9,Owner,0,2021-04-03,823,1,0,0,,23953.63,64.1,113
APP000176,CUST005918,2023-12-25,Medical,43500,36,10.1,Online,0,Randy,Hernandez,1968-03-02,55,F,VIC,2993,Casual,27,38193.39,Renting,0,2019-07-19,677,2,2,1,69.0,22438.22,63.0,139
APP000177,CUST003340,2023-03-11,Wedding,47000,36,11.7,Broker,0,Janet,Brown,1960-10-22,63,M,VIC,2685,Part-Time,3,50524.78,Mortgage,4,2019-12-01,659,5,2,0,,15222.1,10.9,159
APP000178,CUST005402,2023-10-03,Debt Consolidation,30000,24,15.19,Branch,0,Jackie,Washington,1969-12-31,54,M,NSW,2958,Full-Time,27,92850.35,Renting,1,2019-10-08,823,3,4,0,,0.0,4.8,128
